AverageWordLength,TypeTokenRatio,RootTypeTokenRatio,AvgTreeDepth,AvgTreeScore,MLC,MLS,MLT,C_S,C_T,CT_T,DC_C,DC_T,CP_C,CP_T,T_S,CN_C,CN_T,VP_T,SentenceCount,AvgSentenceLengthInWords,AvgSentenceLengthInChars,NounVariation,VerbVariation,AdjectiveVariation,AdverbVariation,VerbVariation1,SquaredVerbVariation1,CorrectedVerbVariation1,LexicalDensity,label
4.569231,0.548077,12.498077,10.2,-135.835208,9.966102,19.6,17.818182,1.966667,1.787879,0.545455,0.305085,0.545455,0.118644,0.212121,1.1,1.779661,3.181818,0.212121,30,19.6,79.2,0.55036,0.309353,0.086331,0.053957,0.488372,20.511628,3.20247,0.472789,Elementary
4.65678,0.561441,12.197614,9.272727,-106.571163,10.057692,15.848485,14.135135,1.575758,1.405405,0.351351,0.25,0.351351,0.096154,0.135135,1.121212,2.288462,3.216216,0.135135,33,15.848485,67.090909,0.521739,0.278986,0.130435,0.068841,0.428571,14.142857,2.659216,0.527725,Elementary
4.758696,0.53913,11.56306,11.416667,-142.333995,9.518519,21.416667,19.769231,2.25,2.076923,0.961538,0.444444,0.923077,0.240741,0.5,1.083333,2.388889,4.961538,0.5,24,21.416667,91.208333,0.515152,0.261364,0.174242,0.049242,0.463768,14.84058,2.724021,0.513619,Elementary
5.045333,0.554667,10.741074,11.3,-137.989735,11,20.9,20.9,1.9,1.9,0.6,0.315789,0.6,0.157895,0.3,1,2.736842,5.2,0.3,20,20.9,94.6,0.474138,0.288793,0.150862,0.086207,0.38806,10.089552,2.246058,0.555024,Elementary
4.71875,0.572917,12.551975,9.777778,-142.737326,12,20,17.419355,1.666667,1.451613,0.451613,0.244444,0.354839,0.288889,0.419355,1.148148,2.688889,3.903226,0.419355,27,20,84.185185,0.59322,0.247458,0.115254,0.044068,0.589041,25.328767,3.558705,0.546296,Elementary
4.799615,0.55684,12.685692,10.8,-134.207316,10.545455,19.333333,17.575758,1.833333,1.666667,0.606061,0.345455,0.575758,0.181818,0.30303,1.1,2.4,4,0.30303,30,19.333333,83.566667,0.55205,0.271293,0.132492,0.044164,0.465116,18.604651,3.049971,0.546552,Elementary
4.623044,0.560455,14.859991,8.978723,-122.487142,11,17.319149,15.960784,1.574468,1.45098,0.588235,0.351351,0.509804,0.243243,0.352941,1.085106,2.540541,3.686275,0.352941,47,17.319149,69.148936,0.483461,0.264631,0.155216,0.096692,0.451923,21.240385,3.258864,0.482801,Elementary
5.049587,0.514463,11.318182,11.206897,-127.147788,10.7,18.448276,17.258065,1.724138,1.612903,0.548387,0.3,0.483871,0.18,0.290323,1.068966,1.88,3.032258,0.290323,29,18.448276,85.103448,0.548173,0.282392,0.099668,0.069767,0.494118,20.752941,3.221253,0.562617,Elementary
5.014109,0.497354,11.842887,11.84,-170.831219,9.875,25.28,18.057143,2.56,1.828571,0.914286,0.4375,0.8,0.1875,0.342857,1.4,2.203125,4.028571,0.342857,25,25.28,114.36,0.577508,0.276596,0.082067,0.06383,0.472527,20.318681,3.187372,0.52057,Elementary
4.662338,0.577922,12.421964,11,-138.995356,9.962264,21.12,16.5,2.12,1.65625,0.5625,0.320755,0.53125,0.264151,0.4375,1.28,1.811321,3,0.4375,25,21.12,86.48,0.468165,0.322097,0.116105,0.093633,0.569767,27.918605,3.736215,0.505682,Elementary
5.063618,0.534791,11.994117,11.208333,-158.92816,10.236364,23.458333,17.59375,2.291667,1.71875,0.75,0.381818,0.65625,0.272727,0.46875,1.333333,2.545455,4.375,0.46875,24,23.458333,106.125,0.457944,0.224299,0.239875,0.077882,0.388889,10.888889,2.333333,0.57016,Elementary
4.503171,0.505285,10.989232,13.826087,-149.495597,8.728814,22.391304,20.6,2.565217,2.36,1.36,0.542373,1.28,0.084746,0.2,1.086957,2.20339,5.2,0.2,23,22.391304,92.608696,0.494505,0.326007,0.113553,0.065934,0.41573,15.382022,2.773267,0.530097,Elementary
4.396825,0.506349,12.709264,10.289474,-125.905368,9.426667,18.605263,16.068182,1.973684,1.704545,0.886364,0.466667,0.795455,0.16,0.272727,1.157895,1.653333,2.818182,0.272727,38,18.605263,72.894737,0.462396,0.337047,0.122563,0.077994,0.338843,13.892562,2.63558,0.507779,Elementary
4.302966,0.521186,11.323068,10.064516,-112.013022,10.313725,16.967742,16.4375,1.645161,1.59375,0.8125,0.470588,0.75,0.254902,0.40625,1.032258,1.980392,3.15625,0.40625,31,16.967742,65.516129,0.450413,0.334711,0.095041,0.119835,0.506173,20.753086,3.221264,0.460076,Elementary
4.862285,0.499218,12.619445,11.410256,-120.99032,10.426471,18.179487,17.725,1.74359,1.7,0.725,0.426471,0.725,0.132353,0.225,1.025641,2.191176,3.725,0.225,39,18.179487,79.666667,0.473545,0.312169,0.132275,0.082011,0.415254,20.347458,3.189628,0.533145,Elementary
4.48191,0.505065,13.276586,10.972222,-143.387053,9.858974,21.361111,19.225,2.166667,1.95,1,0.461538,0.9,0.153846,0.3,1.111111,2.730769,5.325,0.3,36,21.361111,86.027778,0.490244,0.280488,0.12439,0.104878,0.417391,20.034783,3.165026,0.53316,Elementary
4.708197,0.506557,12.511044,9.875,-154.375762,14.479167,21.71875,17.375,1.5,1.2,0.225,0.166667,0.2,0.4375,0.525,1.25,3.270833,3.925,0.525,32,21.71875,89.75,0.592179,0.223464,0.128492,0.055866,0.425,14.45,2.687936,0.515108,Elementary
4.579819,0.536145,13.815479,9.707317,-174.352551,9.776316,18.121951,14.018868,1.853659,1.433962,0.358491,0.223684,0.320755,0.171053,0.245283,1.292683,1.855263,2.660377,0.245283,41,18.121951,74.365854,0.488189,0.286089,0.146982,0.07874,0.46789,23.862385,3.454156,0.512786,Elementary
4.623974,0.525452,12.967054,10.315789,-116.615797,8.493671,17.657895,15.604651,2.078947,1.837209,0.837209,0.43038,0.790698,0.164557,0.302326,1.131579,1.670886,3.069767,0.302326,38,17.657895,74.105263,0.485095,0.284553,0.149051,0.081301,0.390476,16.009524,2.829269,0.549925,Elementary
4.967742,0.595533,11.955252,12.25,-154.322374,10.227273,22.5,18,2.2,1.76,0.76,0.431818,0.76,0.181818,0.32,1.25,2.113636,3.72,0.32,20,22.5,100.1,0.544747,0.272374,0.120623,0.062257,0.514286,18.514286,3.042555,0.571111,Elementary
5.047109,0.518201,11.198424,9.818182,-107.931168,9.90566,15.909091,14.583333,1.606061,1.472222,0.527778,0.358491,0.527778,0.169811,0.25,1.090909,2.301887,3.388889,0.25,33,15.909091,71.909091,0.435088,0.273684,0.182456,0.108772,0.346154,9.346154,2.16173,0.542857,Elementary
4.780723,0.571084,11.633872,11.285714,-146.46443,11.317073,22.095238,18.56,1.952381,1.64,0.64,0.365854,0.6,0.195122,0.32,1.190476,2.829268,4.64,0.32,21,22.095238,94.47619,0.489177,0.290043,0.12987,0.090909,0.41791,11.701493,2.418832,0.497845,Elementary
4.7,0.594643,14.071818,9.694444,-116.808595,9.25,17.472222,14.627907,1.888889,1.581395,0.534884,0.308824,0.488372,0.147059,0.232558,1.194444,1.588235,2.511628,0.232558,36,17.472222,73.111111,0.434783,0.295652,0.130435,0.13913,0.490196,24.509804,3.5007,0.54849,Elementary
4.793372,0.565302,12.803813,9.375,-126.542907,13.488372,18.125,15.675676,1.34375,1.162162,0.243243,0.232558,0.27027,0.488372,0.567568,1.15625,3.232558,3.756757,0.567568,32,18.125,76.84375,0.504615,0.224615,0.181538,0.089231,0.479452,16.780822,2.896621,0.560345,Elementary
4.875686,0.557587,13.040858,9.709677,-132.733004,11.090909,19.677419,17.428571,1.774194,1.571429,0.571429,0.345455,0.542857,0.290909,0.457143,1.129032,2.472727,3.885714,0.457143,31,19.677419,86.032258,0.484568,0.253086,0.197531,0.064815,0.54878,24.695122,3.51391,0.531148,Elementary
4.814016,0.638814,12.304427,10,-103.309845,8.893617,16.076923,14.413793,1.807692,1.62069,0.62069,0.382979,0.62069,0.106383,0.172414,1.115385,1.404255,2.275862,0.172414,26,16.076923,69,0.493088,0.308756,0.110599,0.087558,0.537313,19.343284,3.109926,0.519139,Elementary
4.988848,0.5,11.597414,10.774194,-166.051111,10.216667,19.774194,17.514286,1.935484,1.714286,0.6,0.366667,0.628571,0.333333,0.571429,1.129032,2.916667,5,0.571429,31,19.774194,87.096774,0.535826,0.249221,0.155763,0.05919,0.3625,10.5125,2.292651,0.523654,Elementary
4.295139,0.451389,10.833333,10.485714,-114.482896,7.783133,18.457143,15.380952,2.371429,1.97619,1.047619,0.433735,0.857143,0.108434,0.214286,1.2,1.024096,2.02381,0.214286,35,18.457143,70.685714,0.452381,0.357143,0.102041,0.088435,0.352381,13.038095,2.553243,0.455108,Elementary
4.460784,0.526144,13.016079,11.631579,-125.778182,11.032258,18,17.1,1.631579,1.55,0.625,0.387097,0.6,0.193548,0.3,1.052632,2.709677,4.2,0.3,38,18,72.473684,0.43454,0.32312,0.150418,0.091922,0.387931,17.456897,2.954395,0.524854,Elementary
4.73922,0.552361,12.189554,8.65625,-121.728818,14.097561,18.0625,17.515152,1.28125,1.242424,0.151515,0.121951,0.151515,0.268293,0.333333,1.03125,3,3.727273,0.333333,32,18.0625,73.875,0.557823,0.183673,0.170068,0.088435,0.407407,8.962963,2.116951,0.508651,Elementary
4.423272,0.490725,11.949938,9.567568,-207.615354,10.242424,18.27027,18.27027,1.783784,1.783784,0.459459,0.333333,0.594595,0.181818,0.324324,1,2.439394,4.351351,0.324324,37,18.27027,71.108108,0.483384,0.26284,0.148036,0.10574,0.390805,13.287356,2.577533,0.489645,Elementary
5.111614,0.524887,13.5152,11.641026,-138.6608,10.082192,18.871795,17.52381,1.871795,1.738095,0.52381,0.383562,0.666667,0.178082,0.309524,1.076923,2.342466,4.071429,0.309524,39,18.871795,86.897436,0.467933,0.287411,0.16152,0.083135,0.487603,28.768595,3.792664,0.572011,Elementary
4.882698,0.615836,11.372138,9.73913,-116.895475,10.944444,17.130435,14.592593,1.565217,1.333333,0.481481,0.361111,0.481481,0.25,0.333333,1.173913,1.888889,2.518519,0.333333,23,17.130435,72.73913,0.558974,0.312821,0.071795,0.05641,0.57377,20.081967,3.168751,0.494924,Elementary
5.093496,0.512195,11.361037,12.708333,-150.571627,9.526316,22.625,20.884615,2.375,2.192308,1.153846,0.473684,1.038462,0.22807,0.5,1.083333,1.859649,4.076923,0.5,24,22.625,104.416667,0.533333,0.3,0.093333,0.073333,0.355556,11.377778,2.385139,0.552486,Elementary
4.527559,0.530184,10.348773,10.692308,-112.608832,10.390244,16.384615,13.741935,1.576923,1.322581,0.451613,0.317073,0.419355,0.146341,0.193548,1.192308,1.658537,2.193548,0.193548,26,16.384615,66.961538,0.481481,0.333333,0.12963,0.055556,0.486111,17.013889,2.916667,0.507042,Elementary
4.787234,0.617021,11.191752,11.705882,-150.559442,9.121951,22,15.583333,2.411765,1.708333,1.083333,0.439024,0.75,0.243902,0.416667,1.411765,1.926829,3.291667,0.416667,17,22,92.647059,0.5,0.315534,0.116505,0.067961,0.446154,12.938462,2.543468,0.550802,Elementary
4.974082,0.526998,11.339642,10.333333,-126.543996,9.90566,19.444444,18.75,1.962963,1.892857,0.928571,0.471698,0.892857,0.132075,0.25,1.037037,2,3.785714,0.25,27,19.444444,85.592593,0.563218,0.283525,0.114943,0.038314,0.405405,12.162162,2.465985,0.497143,Elementary
4.55414,0.547771,13.727094,10.125,-123.117215,10.043478,17.325,14.142857,1.725,1.408163,0.408163,0.304348,0.428571,0.15942,0.22449,1.225,2.57971,3.632653,0.22449,40,17.325,71.5,0.501305,0.29765,0.133159,0.067885,0.394737,17.763158,2.980198,0.55267,Elementary
4.373214,0.528571,12.508283,9.487805,-108.903318,8.75,15.365854,14.651163,1.756098,1.674419,0.627907,0.361111,0.604651,0.069444,0.116279,1.04878,1.486111,2.488372,0.116279,41,15.365854,59.731707,0.432099,0.330247,0.126543,0.111111,0.373832,14.953271,2.734344,0.514286,Elementary
4.663405,0.491194,11.103586,12.037037,-142.940209,7.355263,20.703704,16.939394,2.814815,2.30303,1.272727,0.513158,1.181818,0.157895,0.363636,1.222222,1.434211,3.30303,0.363636,27,20.703704,88.555556,0.4613,0.328173,0.099071,0.111455,0.386792,15.858491,2.815892,0.577818,Elementary
4.972006,0.536547,13.605472,10.095238,-122.435172,9.944444,17.047619,16.651163,1.714286,1.674419,0.651163,0.375,0.627907,0.166667,0.27907,1.02381,2.611111,4.372093,0.27907,42,17.047619,76.309524,0.502451,0.247549,0.166667,0.083333,0.465347,21.871287,3.306908,0.569832,Elementary
4.921603,0.513937,12.313062,11.4375,-144.199494,9.859375,19.71875,19.71875,2,2,0.75,0.375,0.75,0.265625,0.53125,1,3.046875,6.09375,0.53125,32,19.71875,88.53125,0.509695,0.279778,0.130194,0.080332,0.435644,19.168317,3.095829,0.572108,Elementary
4.372781,0.485207,12.615385,10.304348,-105.999295,9,16.434783,14.823529,1.826087,1.647059,0.490196,0.285714,0.470588,0.190476,0.313725,1.108696,1.833333,3.019608,0.313725,46,16.434783,64.26087,0.445596,0.339378,0.119171,0.095855,0.389313,19.854962,3.150791,0.510582,Elementary
4.807692,0.582692,13.287429,9.27027,-116.449208,10.016949,15.972973,13.744186,1.594595,1.372093,0.395349,0.254237,0.348837,0.186441,0.255814,1.162162,1.627119,2.232558,0.255814,37,15.972973,67.567568,0.470238,0.291667,0.136905,0.10119,0.479592,22.540816,3.357143,0.568528,Elementary
4.579961,0.535645,12.202846,8.634146,-98.97113,9.296875,14.512195,13.222222,1.560976,1.422222,0.4,0.28125,0.4,0.140625,0.2,1.097561,1.3125,1.866667,0.2,41,14.512195,58.170732,0.454839,0.306452,0.135484,0.103226,0.473684,21.315789,3.264643,0.521008,Elementary
4.40519,0.55489,12.420124,10.551724,-131.213393,9.525424,19.37931,18.733333,2.034483,1.966667,0.866667,0.423729,0.833333,0.186441,0.366667,1.034483,1.847458,3.633333,0.366667,29,19.37931,76.103448,0.476351,0.304054,0.14527,0.074324,0.433333,16.9,2.906888,0.52669,Elementary
4.5962,0.598575,12.281729,9.466667,-113.78747,10.954545,16.066667,16.066667,1.466667,1.466667,0.566667,0.386364,0.566667,0.318182,0.466667,1,2.25,3.3,0.466667,30,16.066667,64.5,0.528736,0.264368,0.1341,0.072797,0.521739,18.782609,3.064524,0.541494,Elementary
4.797849,0.569892,12.289081,10.064516,-124.374507,8.015385,16.806452,14.081081,2.096774,1.756757,0.702703,0.369231,0.648649,0.138462,0.243243,1.193548,1.753846,3.081081,0.243243,31,16.806452,71.967742,0.493243,0.304054,0.148649,0.054054,0.377778,12.844444,2.53421,0.568138,Elementary
4.654255,0.619681,12.016058,9.56,-115.996174,10.625,17,15.740741,1.6,1.481481,0.518519,0.325,0.481481,0.4,0.592593,1.08,1.65,2.444444,0.592593,25,17,70,0.472973,0.274775,0.189189,0.063063,0.508197,15.754098,2.806608,0.522353,Elementary
4.844021,0.561525,13.488296,10,-130.295525,10.31746,19.117647,16.666667,1.852941,1.615385,0.589744,0.380952,0.615385,0.238095,0.384615,1.147059,2.349206,3.794872,0.384615,34,19.117647,82.441176,0.471751,0.271186,0.175141,0.081921,0.375,13.5,2.598076,0.544615,Elementary
4.626788,0.559168,15.506197,9.617021,-139.193499,13.208955,18.829787,18.061224,1.425532,1.367347,0.489796,0.328358,0.44898,0.283582,0.387755,1.042553,2.80597,3.836735,0.387755,47,18.829787,76.893617,0.612832,0.225664,0.130531,0.030973,0.539216,29.656863,3.85077,0.510734,Elementary
4.35219,0.525547,12.30275,11.40625,-126.919775,8.753623,18.875,17.764706,2.15625,2.029412,0.911765,0.434783,0.882353,0.144928,0.294118,1.0625,1.637681,3.323529,0.294118,32,18.875,74.53125,0.465278,0.329861,0.142361,0.0625,0.473684,21.315789,3.264643,0.476821,Elementary
4.863889,0.619444,11.753132,9.782609,-130.727764,11.081081,17.826087,14.642857,1.608696,1.321429,0.464286,0.324324,0.428571,0.378378,0.5,1.217391,2.72973,3.607143,0.5,23,17.826087,77.173913,0.506608,0.255507,0.189427,0.048458,0.568966,18.775862,3.063973,0.553659,Elementary
